,cellid,is_room_temp,formation_type,retention,cycles,ahah
0,1,False,Baseline Formation,50,400,361.0000534551271
1,1,False,Baseline Formation,60,391,356.1042277270339
2,1,False,Baseline Formation,70,373,344.2165076300424
3,1,False,Baseline Formation,80,328,311.24881927216103
4,2,False,Baseline Formation,50,401,354.748109693178
5,2,False,Baseline Formation,60,368,336.34578842686443
6,2,False,Baseline Formation,70,338,317.0092981601271
7,2,False,Baseline Formation,80,314,298.72833665601695
8,3,False,Baseline Formation,50,520,452.02336559631357
9,3,False,Baseline Formation,60,498,439.71762586461864
10,3,False,Baseline Formation,70,455,411.9065566051695
11,3,False,Baseline Formation,80,386,359.2305103736017
12,4,False,Baseline Formation,50,389,347.44186693182206
13,4,False,Baseline Formation,60,381,343.065764190339
14,4,False,Baseline Formation,70,363,331.1560167932627
15,4,False,Baseline Formation,80,315,296.3576499768221
16,5,False,Baseline Formation,50,405,367.2625538327543
17,5,False,Baseline Formation,60,400,364.5598205701695
18,5,False,Baseline Formation,70,381,351.79252009059326
19,5,False,Baseline Formation,80,333,316.2664680227119
20,6,False,Baseline Formation,50,430,384.60931533449155
21,6,False,Baseline Formation,60,422,380.25766578449156
22,6,False,Baseline Formation,70,405,369.01658952559325
23,6,False,Baseline Formation,80,355,331.32634892868646
24,7,False,Baseline Formation,50,419,374.73666836572033
25,7,False,Baseline Formation,60,408,368.626326716017
26,7,False,Baseline Formation,70,362,338.0049621389407
27,7,False,Baseline Formation,80,336,318.2209305379661
28,8,False,Baseline Formation,50,412,372.0353712972881
29,8,False,Baseline Formation,60,402,366.5416132739407
30,8,False,Baseline Formation,70,362,339.8358456981356
31,8,False,Baseline Formation,80,340,323.10142771694916
32,10,False,Baseline Formation,50,432,384.10941435707633
33,10,False,Baseline Formation,60,421,378.05266252449155
34,10,False,Baseline Formation,70,378,349.1968661487288
35,10,False,Baseline Formation,80,339,320.0606625106356
36,11,True,Baseline Formation,50,451,379.60153349389833
37,11,True,Baseline Formation,60,432,369.75362983872884
38,11,True,Baseline Formation,70,388,342.4985645381356
39,11,True,Baseline Formation,80,349,314.64029979584745
40,12,True,Baseline Formation,50,451,368.90570248419493
41,12,True,Baseline Formation,60,403,343.4726711888136
42,12,True,Baseline Formation,70,377,327.80703964029664
43,12,True,Baseline Formation,80,327,292.9438420558051
44,13,True,Baseline Formation,50,435,358.6748325889407
45,13,True,Baseline Formation,60,399,339.87378383114407
46,13,True,Baseline Formation,70,351,310.13313343538135
47,13,True,Baseline Formation,80,319,287.56193337084744
48,14,True,Baseline Formation,50,492,409.21565870932204
49,14,True,Baseline Formation,60,479,402.60152065207626
50,14,True,Baseline Formation,70,411,359.6190299461017
51,14,True,Baseline Formation,80,380,337.9199927063983
52,15,True,Baseline Formation,50,415,350.9700253997034
53,15,True,Baseline Formation,60,398,342.3746786613983
54,15,True,Baseline Formation,70,375,328.36451865851694
55,15,True,Baseline Formation,80,330,297.0344941968644
56,16,True,Baseline Formation,50,429,359.75502717025427
57,16,True,Baseline Formation,60,409,349.1452243067373
58,16,True,Baseline Formation,70,375,328.75331001927964
59,16,True,Baseline Formation,80,348,310.01795102466104
60,17,True,Baseline Formation,50,390,324.52640469211866
61,17,True,Baseline Formation,60,354,305.2364494947458
62,17,True,Baseline Formation,70,328,289.588597711356
63,17,True,Baseline Formation,80,302,271.4581924113559
64,18,True,Baseline Formation,50,404,337.0517731658051
65,18,True,Baseline Formation,60,383,326.352499485678
66,18,True,Baseline Formation,70,343,301.2858015434746
67,18,True,Baseline Formation,80,310,278.2025656283475
68,19,True,Baseline Formation,50,437,362.8911226773305
69,19,True,Baseline Formation,60,406,346.36765875822033
70,19,True,Baseline Formation,70,362,318.7017826672034
71,19,True,Baseline Formation,80,331,296.98491162059327
72,20,True,Baseline Formation,50,409,338.77248200084745
73,20,True,Baseline Formation,60,354,308.274165575339
74,20,True,Baseline Formation,70,330,293.8124639383051
75,20,True,Baseline Formation,80,304,275.5674380329661
76,21,True,Fast Formation,50,506,427.5856638544068
77,21,True,Fast Formation,60,486,416.9238944402543
78,21,True,Fast Formation,70,451,395.2328918839407
79,21,True,Fast Formation,80,403,360.7985245337288
80,22,True,Fast Formation,50,444,369.7957849892797
81,22,True,Fast Formation,60,406,350.19018933427964
82,22,True,Fast Formation,70,382,335.77288600385594
83,22,True,Fast Formation,80,341,306.63805940072035
84,23,True,Fast Formation,50,563,471.76848911228814
85,23,True,Fast Formation,60,536,457.7218256633051
86,23,True,Fast Formation,70,495,432.088594770678
87,23,True,Fast Formation,80,442,394.7876802212288
88,24,True,Fast Formation,50,496,410.4675976875
89,24,True,Fast Formation,60,460,391.89479337648305
90,24,True,Fast Formation,70,429,372.8705754252543
91,24,True,Fast Formation,80,383,341.02207133305086
92,25,True,Fast Formation,50,615,503.60496437631355
93,25,True,Fast Formation,60,572,481.15186754521187
94,25,True,Fast Formation,70,503,439.63482559177965
95,25,True,Fast Formation,80,457,406.98656759978815
96,26,True,Fast Formation,50,627,516.9565302378815
97,26,True,Fast Formation,60,591,498.44484586834744
98,26,True,Fast Formation,70,536,464.69279701830516
99,26,True,Fast Formation,80,464,414.0563523600424
100,27,True,Fast Formation,50,576,476.3536557450848
101,27,True,Fast Formation,60,548,461.7922648406356
102,27,True,Fast Formation,70,490,426.2673259272034
103,27,True,Fast Formation,80,436,388.3346735820763
104,28,True,Fast Formation,50,598,489.09987809677966
105,28,True,Fast Formation,60,564,471.26500813665257
106,28,True,Fast Formation,70,498,430.9371024364831
107,28,True,Fast Formation,80,441,390.85548360262715
108,29,True,Fast Formation,50,530,437.66056971419493
109,29,True,Fast Formation,60,505,424.64375462042375
110,29,True,Fast Formation,70,462,398.41259751889834
111,29,True,Fast Formation,80,402,356.16848495894067
112,30,True,Fast Formation,50,576,474.3872663800848
113,30,True,Fast Formation,60,559,465.4473530197882
114,30,True,Fast Formation,70,488,422.68893731669493
115,30,True,Fast Formation,80,435,385.8982926341102
116,31,False,Fast Formation,50,496,435.6871631388983
117,31,False,Fast Formation,60,478,425.72018231940683
118,31,False,Fast Formation,70,461,415.0568967419068
119,31,False,Fast Formation,80,385,358.5180072196187
120,32,False,Fast Formation,50,506,449.622643751017
121,32,False,Fast Formation,60,496,444.1346737877119
122,32,False,Fast Formation,70,479,432.9663396939407
123,32,False,Fast Formation,80,396,370.53455651241524
124,33,False,Fast Formation,50,500,446.0709986000424
125,33,False,Fast Formation,60,488,439.4968364630085
126,33,False,Fast Formation,70,468,426.3411319322882
127,33,False,Fast Formation,80,406,380.2239105261441
128,34,False,Fast Formation,50,612,540.4475515737289
129,34,False,Fast Formation,60,602,534.9942609854661
130,34,False,Fast Formation,70,590,527.1700458284322
131,34,False,Fast Formation,80,480,445.64851990347455
132,35,False,Fast Formation,50,460,409.0181038504661
133,35,False,Fast Formation,60,448,402.4946856088983
134,35,False,Fast Formation,70,437,395.2879523762712
135,35,False,Fast Formation,80,361,338.3305296990678
136,36,False,Fast Formation,50,538,469.72394758228813
137,36,False,Fast Formation,60,522,461.11780147724573
138,36,False,Fast Formation,70,481,433.79827459966106
139,36,False,Fast Formation,80,398,371.6133348511441
140,37,False,Fast Formation,50,554,485.9865747734322
141,37,False,Fast Formation,60,542,479.3838671541102
142,37,False,Fast Formation,70,522,466.3499773808475
143,37,False,Fast Formation,80,423,393.1930860251695
144,38,False,Fast Formation,50,477,425.46252515995764
145,38,False,Fast Formation,60,465,419.06972591779663
146,38,False,Fast Formation,70,441,403.22903349233053
147,38,False,Fast Formation,80,382,359.0069138180932
148,39,False,Fast Formation,50,537,474.51544964957634
149,39,False,Fast Formation,60,523,466.87956348529667
150,39,False,Fast Formation,70,514,461.2266389966525
151,39,False,Fast Formation,80,412,385.39266061961865
152,40,False,Fast Formation,50,562,490.5114178025848
153,40,False,Fast Formation,60,553,485.5876187888984
154,40,False,Fast Formation,70,520,463.42581419635593
155,40,False,Fast Formation,80,411,383.99488416470336
